ord_num,job_num,cust_num,trt_num,mat_num,unit_name_material,unit_name_labor,task_num,ord_dirtdeal,ord_backhaul,ost_name,ord_qty_material,ord_qty_labor,ord_num_loads,ord_approved,labour_cost,labour_charge,material_cost,material_rate,ord_seconds,ord_meters
301,56,8344,2,965,Yard,Yard,1,0,0,Draft,,,0,0,9.5,10,0,4.7,2657,55961
302,56,8344,2,775,Yard,Yard,1,0,0,Draft,,,0,0,7,7.5,0,4.1,1863,37898
303,56,8344,2,157,Ton,Ton,1,0,0,Draft,,,0,0,0,0,0,8.2,1002,11703
304,57,8215,2,29,Load,Load,0,0,0,Draft,,,0,0,210,228,0,12,1202,22853
527,99,8344,2,775,Yard,Yard,1,0,0,Draft,,,0,0,7.5,8,0,4.1,1805,43117
528,99,8344,2,157,Ton,Ton,1,0,0,Draft,,,0,0,4.75,5,0,8.2,818,17909
529,99,8344,2,777,Yard,Yard,1,0,0,Draft,,,0,0,7.5,8,0,3.55,1805,43117
530,100,8344,2,954,Load,Load,0,0,0,Draft,,,0,0,145,150,0,0,2392,42155
531,100,8344,2,956,Load,Load,0,0,0,Draft,,,0,0,145,150,0,58,2392,42155
532,100,8344,2,954,Load,Load,0,0,0,Draft,,,0,0,145,150,0,0,2392,42155
533,100,8344,2,963,Load,Load,0,0,0,Draft,,,0,0,145,150,0,150,2392,42155
671,126,8298,2,143,Ton,Ton,1,0,0,Quick Quote,,,0,0,7,7.25,7,8.2,1723,35848
672,127,8302,2,989,Load,Load,0,0,0,Draft,,,0,0,90,95,0,30,1185,18407
673,127,8302,2,163,Load,Load,0,0,0,Draft,,,0,0,65,70,0,0,560,4026
674,127,8302,2,978,Load,Load,0,0,0,Draft,,,0,0,125,130,0,125,1582,28478
675,127,8302,2,0,Load,Load,1,0,0,Draft,,,0,0,0,0,0,0,-1,-1
676,128,8321,2,956,Load,Load,0,0,0,Draft,,,0,0,150,155,0,0,2327,34534
677,128,8321,2,149,Load,Load,0,0,0,Draft,,,0,0,80,85,0,0,656,8710
678,128,8321,2,940,Ton,Load,0,0,0,Draft,,,0,0,105,110,0,38.1,721,10046
679,128,8321,2,945,Ton,Ton,1,0,0,Draft,,,0,0,6.5,7,0,5,2327,34534
680,128,8321,2,837,Ton,Ton,1,0,0,Draft,,,0,0,8.5,9,0,4.6,2569,56139
681,128,8321,2,143,Ton,Ton,1,0,0,Draft,,,0,0,4.25,4.5,0,8.2,656,8710
682,129,8338,2,989,Load,Load,0,0,0,Draft,,,0,0,90,95,0,30,1247,19630
683,129,8338,2,965,Yard,Yard,1,0,0,Draft,,,0,0,9.25,9.75,0,4.7,2544,55500
